,B23409,B00367,B13847,B15553,B10749,B03605,B17517,B05851,B12869,B20167,B18365,B21754,B21401,B21937,B21046,B18646,B11920,B20159,B07325,B21967
40532,15.10488,43.26944,13.49062,13.26192,31.00772,23.79121,11.54152,36.22445,13.59903,102.92757,61.97545,35.42475,69.5003,14.7913,31.46065,15.25572,25.96383,116.46206,32.65903,41.43191
40533,15.19487,43.30296,13.53142,13.35565,31.20253,24.00542,11.63535,36.24698,13.6768,102.03254,62.22822,35.42586,70.25518,14.8844,31.55071,15.39581,25.96827,115.63998,33.03323,41.86723
40534,15.22058,43.26944,13.57222,13.39079,31.34552,24.11483,11.65099,36.2695,13.71013,101.7342,62.41206,35.39352,71.00158,14.91931,31.50568,15.35379,26.03398,116.5534,33.13646,41.99972
40535,15.22058,43.21917,13.55862,13.37908,31.34552,24.13671,11.66663,36.27306,13.69902,101.43586,62.43504,35.39462,70.74713,14.89603,31.50568,15.32577,26.05206,117.28415,33.03323,42.11329
40536,15.22058,43.21917,13.55862,13.37908,31.34552,24.13671,11.66663,36.27306,13.69902,101.43586,62.43504,35.39462,70.74713,14.89603,31.50568,15.32577,26.05206,117.28415,33.03323,42.11329
40537,15.22058,43.21917,13.55862,13.37908,31.34552,24.13671,11.66663,36.27306,13.69902,101.43586,62.43504,35.39462,70.74713,14.89603,31.50568,15.32577,26.05206,117.28415,33.03323,42.11329
40538,15.22058,43.21917,13.55862,13.37908,31.34552,24.13671,11.66663,36.27306,13.69902,101.43586,62.43504,35.39462,70.74713,14.89603,31.50568,15.32577,26.05206,117.28415,33.03323,42.11329
40539,15.22058,43.26944,13.51782,13.37908,31.32921,24.07106,11.63716,36.26827,13.71013,101.83365,62.41206,35.36226,70.87436,14.91931,31.64077,15.33978,26.05651,115.36595,32.89129,41.96187
40540,15.20772,43.15213,13.49062,13.37908,31.37814,24.04918,11.65295,36.23387,13.69902,101.43586,62.3661,35.32989,70.88284,14.93095,31.55071,15.25572,26.06267,118.38026,32.85258,41.94294
40541,15.28486,43.33647,13.54502,13.40251,31.42706,24.26801,11.76348,36.25634,13.76863,100.54084,62.50398,35.43323,71.04399,14.94258,31.55071,15.28374,26.12862,115.914,33.10175,42.32149
40542,15.28486,43.30296,13.53142,13.38306,31.39445,24.1586,11.70702,36.24088,13.74605,100.54084,62.41206,35.40191,70.93373,14.90767,31.58073,15.26973,26.19719,115.914,33.06297,42.6054
40543,15.29771,43.38675,13.50422,13.37134,31.41076,24.18048,11.75441,36.18994,13.74605,100.54084,62.27418,35.4804,71.00158,14.91931,31.32556,15.17167,26.3199,113.90446,33.11467,42.71896
40544,15.29771,43.38675,13.50422,13.37134,31.41076,24.18048,11.75441,36.18994,13.74605,100.54084,62.27418,35.4804,71.00158,14.91931,31.32556,15.17167,26.3199,113.90446,33.11467,42.71896
40545,15.29771,43.38675,13.50422,13.37134,31.41076,24.18048,11.75441,36.18994,13.74605,100.54084,62.27418,35.4804,71.00158,14.91931,31.32556,15.17167,26.3199,113.90446,33.11467,42.71896
40546,15.42626,43.36999,13.65382,13.53541,31.73693,24.44307,11.81761,36.20059,13.85891,99.64582,62.66483,35.48188,72.06181,15.09387,31.73082,15.3818,26.33238,115.2746,33.47658,43.21107
40547,15.3877,43.4035,13.58582,13.51197,31.73693,24.44307,11.81761,36.22316,13.85891,100.34195,62.481,35.48317,71.7395,15.08223,31.28053,15.24171,26.3979,115.18326,33.3344,43.38142
40548,15.40055,43.23592,13.66741,13.57056,31.83478,24.20236,11.73862,36.20767,13.88148,99.94416,62.52696,35.41745,72.1636,15.1637,31.40061,15.39581,26.34116,118.28892,33.19223,43.24893
40549,15.37484,43.35323,13.57222,13.53541,31.78586,24.09295,11.65962,36.15411,13.85891,100.64029,62.96357,35.45226,72.22297,15.11715,31.25051,15.42383,26.34491,117.74086,33.08882,43.04073
40550,15.33628,43.4873,13.57222,13.48853,31.688,23.96165,11.61222,36.15766,13.83634,99.94416,62.98654,35.52056,72.32475,15.08223,31.05538,15.35379,26.35787,117.01012,32.85617,42.62433
40551,15.33628,43.4873,13.57222,13.48853,31.688,23.96165,11.61222,36.15766,13.83634,99.94416,62.98654,35.52056,72.32475,15.08223,31.05538,15.35379,26.35787,117.01012,32.85617,42.62433
40552,15.33628,43.4873,13.57222,13.48853,31.688,23.96165,11.61222,36.15766,13.83634,99.94416,62.98654,35.52056,72.32475,15.08223,31.05538,15.35379,26.35787,117.01012,32.85617,42.62433
40553,15.32342,43.53757,13.57222,13.46509,31.57384,23.85224,11.56483,36.14926,13.80248,100.34195,62.94059,35.52187,72.09574,15.08223,31.20548,15.49388,26.36217,116.09669,32.64936,42.20793
40554,15.3877,43.50405,13.55862,13.52369,31.72062,24.09295,11.65962,36.11474,13.85891,98.7508,63.17038,35.52314,72.29931,15.12878,31.35558,15.54991,26.36649,117.01012,33.01127,42.47291
